Set,Price_Euro,Pieces,Minifigs
Corner Garage,,,0
Ford Mustang,,,0
NASA Apollo 11 Lunar Lander,,,0
Gingerbread House,,,0
Harley-Davidson Fat Boy,,,0
Woody & RC,,,0
Duke Caboom's Stunt Show,,,0
Buzz and Bo Peep's Playground Adventure,,,0
RV Vacation,,,0
Buzz & Woody's Carnival Mania!,,,0
Carnival Thrill Coaster,,,0
My First Tow Truck,,,0
My First Balancing Animals,,,0
My First Fun Puzzle,,,0
My First Car Creations,,,0
Creative Fun,,,0
Mickey's Vacation House,,,0
Spider-Man vs. Electro,,,0
Toy Story Train,,,0
Emmet and Lucy's Visitors from the DUPLO Planet,,,0
My First Minnie Build,,,0
My First Mickey Build,,,0
Frozen Ice Castle,,,0
Police Bike,,,0
Fire Truck,,,0
Police Station,,,0
Fire Station,,,0
Baby Animals,,,0
Tropical Island,,,0
World Animals,,,0
Plane,,,0
Submarine Adventure,,,0
Bricks and Ideas,,,0
Basic Brick Set,,,0
Bricks and Eyes,,,0
Windows of Creativity,,,0
Creative Fun,,,0
Star Wars: Build Your Own Adventure Galactic Missions parts,,,0
The Book of Bedtime Builds parts,,,0
Harry Potter: Build Your Own Adventure parts,,,0
Christmas Ideas parts,,,0
Wooden Minifigure parts,,,0
San Francisco,,,0
Paris,,,0
Trafalgar Square,,,0
Empire State Building,,,0
Burj Khalifa,,,0
Minecraft Steve BigFig with Parrot,,,0
Minecraft Alex BigFig with Chicken,,,0
Minecraft Skeleton BigFig with Magma Cube,,,0
The End Battle,,,0
The Pirate Ship Adventure,,,0
The Wool Farm,,,0
The Blaze Bridge,,,0
The Creeper Mine,,,0
The Flintstones,,,0
Steamboat Willie,,,0
Tree House,,,0
Central Perk,,,0
Dinosaur Fossils,,,0
My First Duck,,,0
Town Rescue - {Random Bag},,,0
Town Rescue - Bird,,,0
Town Rescue - Fireman,,,0
Town Rescue - Cat,,,0
Town Rescue - Policewoman,,,0
Town Rescue - Dog,,,0
Emmet's 'Piece' Offering,,,0
Fire ATV,,,0
Sky Police Jetpack,,,0
Race Boat,,,0
Popcorn Cart,,,0
Space Satellite,,,0
Naboo Starfighter,,,0
Snowspeeder,,,0
Minecraft Steve and Creeper Set,,,0
Tulips,,,0
Emma's Bumper Cars,,,0
Mia's Water Fun,,,0
Spider-Man's Mini Spider Crawler,,,0
Iron Man and Dum-E,,,0
Rex's Plantimal Ambush,,,0
Podracer,,,0
Lucy vs. Alien Invader,,,0
